@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://us.battle.net/sc2/en/profile/3202227/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://kr.battle.net/sc2/en/profile/2343479/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://eu.battle.net/sc2/en/profile/377576/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://kr.battle.net/sc2/en/profile/2342343/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey72 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey31 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,204.0,27.0,1.0,295.0,112.0,1.0,5.0,82.0,38.0,2.0,130.0,36.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.536842105
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,237.0,19.0,1.0,273.0,73.0,2.0,3.0,27.0,29.0,1.0,77.0,37.0,0.0,0.0,3.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.118881119
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,203.0,18.0,3.0,256.0,86.0,4.0,7.0,41.0,44.0,1.0,83.0,30.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.286885246
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,173.0,20.0,1.0,170.0,21.0,4.0,11.0,47.0,52.0,6.0,96.0,31.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3463796477
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,155.0,11.0,3.0,255.0,120.0,3.0,2.0,14.0,60.0,3.0,59.0,23.0,0.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0405643739
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,147.0,14.0,1.0,262.0,174.0,3.0,4.0,14.0,56.0,3.0,17.0,26.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.99410609
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,228.0,2.0,0.0,0.0,172.0,2.0,2.0,48.0,0.0,1.0,434.0,0.0,0.0,0.0,2.0,234.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.822306238
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,199.0,4.0,2.0,16.0,144.0,1.0,2.0,31.0,0.0,1.0,359.0,4.0,0.0,0.0,2.0,208.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.527162978
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,192.0,4.0,3.0,7.0,216.0,0.0,4.0,33.0,0.0,1.0,427.0,6.0,0.0,0.0,2.0,204.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.85840708
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,176.0,3.0,1.0,0.0,216.0,2.0,2.0,36.0,0.0,1.0,492.0,4.0,0.0,0.0,2.0,280.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.12244898
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,152.0,1.0,4.0,6.0,79.0,5.0,9.0,125.0,255.0,3.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5251798561
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,174.0,1.0,9.0,23.0,71.0,4.0,12.0,120.0,258.0,2.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.798206278
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,210.0,2.0,2.0,1.0,59.0,6.0,27.0,56.0,149.0,2.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7632508834
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2348639/1/,129.0,3.0,5.0,13.0,52.0,14.0,11.0,96.0,177.0,2.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.4686346863
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,184.0,2.0,0.0,0.0,204.0,1.0,11.0,52.0,0.0,1.0,283.0,3.0,0.0,0.0,2.0,82.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.4622808745
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,201.0,4.0,2.0,21.0,201.0,1.0,2.0,35.0,0.0,1.0,412.0,5.0,0.0,0.0,2.0,203.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.3125
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342343/1/,254.0,2.0,5.0,21.0,247.0,8.0,10.0,101.0,83.0,2.0,88.0,5.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,159.295436349
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342343/1/,251.0,2.0,3.0,34.0,229.0,8.0,16.0,50.0,77.0,1.0,77.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,146.840775063
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,180.0,3.0,2.0,4.0,144.0,1.0,2.0,69.0,0.0,1.0,389.0,6.0,0.0,0.0,2.0,239.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.309705562
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,195.0,3.0,2.0,17.0,126.0,1.0,2.0,46.0,1.0,1.0,375.0,5.0,0.0,0.0,2.0,243.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.855643045
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342343/1/,248.0,1.0,7.0,33.0,283.0,18.0,18.0,82.0,124.0,4.0,44.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,134.024096386
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342343/1/,292.0,1.0,3.0,31.0,283.0,19.0,28.0,145.0,129.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,143.776908023
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4665241/1/,90.0,3.0,3.0,6.0,21.0,31.0,2.0,736.0,354.0,3.0,8.0,5.0,1.0,0.0,1.0,1.0,309.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0
race:Protoss,status:Loss,http://us.battle.net/sc2/en/profile/4665241/1/,80.0,4.0,9.0,17.0,36.0,14.0,2.0,690.0,441.0,1.0,6.0,4.0,2.0,0.0,1.0,0.0,175.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.523659306
race:Protoss,status:Loss,http://us.battle.net/sc2/en/profile/4665241/1/,94.0,1.0,7.0,10.0,25.0,21.0,2.0,730.0,413.0,2.0,17.0,4.0,1.0,0.0,0.0,0.0,224.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.376862401
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4665241/1/,75.0,1.0,7.0,6.0,34.0,18.0,2.0,641.0,371.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,207.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.103658537
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342120/1/,294.0,1.0,1.0,151.0,343.0,3.0,1.0,38.0,102.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151.127819549
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342120/1/,263.0,1.0,1.0,63.0,299.0,1.0,5.0,157.0,53.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.793814433
race:Zerg,status:Loss,http://kr.battle.net/sc2/en/profile/2342120/1/,296.0,1.0,1.0,81.0,324.0,1.0,3.0,110.0,69.0,1.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,157.872340426
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342120/1/,307.0,1.0,2.0,56.0,349.0,2.0,6.0,160.0,114.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,151.332877649
race:Zerg,status:Win,http://kr.battle.net/sc2/en/profile/2342120/1/,313.0,1.0,2.0,155.0,443.0,2.0,1.0,159.0,91.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,141.638141809
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4665241/1/,134.0,3.0,10.0,24.0,24.0,24.0,2.0,544.0,308.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,121.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.822407628
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4665241/1/,69.0,2.0,6.0,25.0,13.0,17.0,2.0,482.0,333.0,2.0,9.0,6.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.682577566
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4665241/1/,97.0,3.0,7.0,43.0,38.0,19.0,1.0,517.0,306.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,137.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.601895735
race:Protoss,status:Loss,http://us.battle.net/sc2/en/profile/4665241/1/,94.0,3.0,9.0,31.0,31.0,22.0,1.0,463.0,320.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,107.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.946721311
race:Protoss,status:Win,http://us.battle.net/sc2/en/profile/4665241/1/,103.0,3.0,3.0,22.0,22.0,19.0,2.0,683.0,373.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,228.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.166814552
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,184.0,2.0,0.0,0.0,191.0,3.0,7.0,51.0,0.0,1.0,406.0,5.0,1.0,0.0,3.0,180.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.371040724
