@relation en_taro_adun

@attribute race {race:Zerg,race:Protoss,race:Terran}
@attribute status {status:Win,status:Loss}
@attribute user {http://us.battle.net/sc2/en/profile/3202227/1/,http://eu.battle.net/sc2/en/profile/3973341/1/,http://kr.battle.net/sc2/en/profile/2343479/1/,http://us.battle.net/sc2/en/profile/4665241/1/,http://eu.battle.net/sc2/en/profile/3538115/1/,http://kr.battle.net/sc2/en/profile/2342120/1/,http://eu.battle.net/sc2/en/profile/377576/1/,http://eu.battle.net/sc2/en/profile/3074362/1/,http://eu.battle.net/sc2/en/profile/2896854/1/,http://kr.battle.net/sc2/en/profile/2348639/1/,http://kr.battle.net/sc2/en/profile/2342419/1/,http://kr.battle.net/sc2/en/profile/2341467/1/,http://kr.battle.net/sc2/en/profile/2343067/1/,http://kr.battle.net/sc2/en/profile/2342343/1/}
@attribute s NUMERIC
@attribute hotkey40 NUMERIC
@attribute hotkey30 NUMERIC
@attribute hotkey32 NUMERIC
@attribute hotkey42 NUMERIC
@attribute hotkey20 NUMERIC
@attribute hotkey10 NUMERIC
@attribute hotkey12 NUMERIC
@attribute hotkey22 NUMERIC
@attribute hotkey50 NUMERIC
@attribute hotkey52 NUMERIC
@attribute Base NUMERIC
@attribute hotkey80 NUMERIC
@attribute hotkey82 NUMERIC
@attribute hotkey60 NUMERIC
@attribute hotkey62 NUMERIC
@attribute hotkey70 NUMERIC
@attribute hotkey72 NUMERIC
@attribute hotkey21 NUMERIC
@attribute hotkey31 NUMERIC
@attribute SingleMineral NUMERIC
@attribute hotkey90 NUMERIC
@attribute hotkey92 NUMERIC
@attribute hotkey00 NUMERIC
@attribute hotkey02 NUMERIC
@attribute hotkey01 NUMERIC
@attribute hotkey11 NUMERIC
@attribute hotkey51 NUMERIC
@attribute hotkey41 NUMERIC
@attribute hotkey71 NUMERIC
@attribute hotkey61 NUMERIC
@attribute hotkey81 NUMERIC
@attribute hotkey91 NUMERIC
@attribute APM NUMERIC

@data
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,375.0,27.0,1.0,436.0,245.0,4.0,27.0,273.0,181.0,3.0,221.0,45.0,1.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.536842105
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,458.0,19.0,1.0,398.0,189.0,15.0,15.0,100.0,151.0,5.0,153.0,39.0,0.0,0.0,3.0,31.0,1.0,14.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.118881119
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,235.0,18.0,3.0,260.0,86.0,5.0,14.0,73.0,54.0,2.0,105.0,30.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.286885246
race:Protoss,status:Loss,http://kr.battle.net/sc2/en/profile/2341467/1/,222.0,20.0,1.0,178.0,21.0,5.0,18.0,103.0,61.0,6.0,120.0,33.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3463796477
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,364.0,11.0,3.0,295.0,160.0,11.0,14.0,112.0,144.0,8.0,130.0,29.0,1.0,4.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0405643739
race:Protoss,status:Win,http://kr.battle.net/sc2/en/profile/2341467/1/,321.0,14.0,2.0,301.0,211.0,9.0,27.0,173.0,246.0,5.0,91.0,34.0,1.0,4.0,2.0,71.0,1.0,6.0,0.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.99410609
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,715.0,3.0,3.0,12.0,179.0,5.0,18.0,144.0,30.0,1.0,629.0,6.0,1.0,0.0,5.0,518.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,115.822306238
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,635.0,4.0,4.0,67.0,150.0,1.0,6.0,126.0,0.0,1.0,470.0,7.0,1.0,0.0,3.0,391.0,1.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,124.527162978
race:Zerg,status:Win,http://us.battle.net/sc2/en/profile/3202227/1/,586.0,6.0,3.0,57.0,225.0,0.0,14.0,102.0,0.0,1.0,562.0,8.0,1.0,0.0,4.0,418.0,1.0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,131.85840708
race:Zerg,status:Loss,http://us.battle.net/sc2/en/profile/3202227/1/,751.0,5.0,2.0,15.0,222.0,2.0,14.0,130.0,0.0,1.0,645.0,9.0,1.0,0.0,5.0,529.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,159.12244898
